Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,1453.969971,1461.420044,1452.640015,1458.670044,1458.670044,114286600
2023-03-08,1455.469971,1458.630005,1451.079956,1454.660034,1454.660034,116583700
2023-03-09,1454.819946,1455.119995,1448.449951,1449.530029,1449.530029,112442800
2023-03-10,1445.800049,1445.800049,1433.079956,1433.079956,1433.079956,118232000
2023-03-13,1419.420044,1423.660034,1409.930054,1421.829956,1421.829956,130371500
2023-03-14,1416.959961,1416.959961,1393.829956,1393.829956,1393.829956,208134800
2023-03-15,1400.099976,1406.569946,1399.800049,1403.930054,1403.930054,158859400
2023-03-16,1400.819946,1403.930054,1391.040039,1391.599976,1391.599976,123798800
2023-03-17,1397.280029,1416.920044,1397.229980,1411.729980,1411.729980,281587900
2023-03-20,1408.180054,1408.520020,1400.489990,1401.810059,1401.810059,95554800
2023-03-21,1407.160034,1412.810059,1403.959961,1406.550049,1406.550049,89710500
2023-03-22,1408.599976,1413.520020,1406.510010,1412.040039,1412.040039,104359400
2023-03-23,1406.969971,1410.979980,1403.550049,1410.979980,1410.979980,106373400
2023-03-24,1411.130005,1411.670044,1399.699951,1399.699951,1399.699951,116712200
2023-03-27,1400.949951,1404.650024,1396.599976,1396.599976,1396.599976,109243200
2023-03-28,1401.599976,1409.229980,1398.420044,1409.089966,1409.089966,89163800
2023-03-29,1407.479980,1422.689941,1407.479980,1420.349976,1420.349976,98993200
2023-03-30,1417.810059,1425.369995,1415.099976,1424.609985,1424.609985,105758500
2023-03-31,1424.790039,1429.479980,1421.359985,1422.589966,1422.589966,138336300
2023-04-03,1426.770020,1433.390015,1426.770020,1433.390015,1433.390015,96205600
2023-04-04,1432.239990,1432.829956,1426.630005,1429.609985,1429.609985,99190200
2023-04-05,1429.290039,1430.199951,1425.709961,1429.550049,1429.550049,54635100
2023-04-06,1431.319946,1431.319946,1416.670044,1424.890015,1424.890015,101716000
2023-04-07,1424.859985,1427.079956,1421.619995,1427.040039,1427.040039,76320400
2023-04-10,1427.890015,1429.650024,1425.189941,1428.130005,1428.130005,57424000
2023-04-11,1429.119995,1435.890015,1426.500000,1435.890015,1435.890015,92736300
2023-04-12,1437.020020,1437.079956,1429.000000,1434.739990,1434.739990,92391900
2023-04-13,1433.869995,1435.010010,1430.890015,1434.219971,1434.219971,99529900
2023-04-14,1434.839966,1438.280029,1431.810059,1435.130005,1435.130005,72150500
2023-04-17,1434.790039,1436.040039,1429.430054,1434.900024,1434.900024,87631200
2023-04-18,1435.469971,1435.469971,1429.589966,1432.359985,1432.359985,76820400
2023-04-19,1431.569946,1431.569946,1423.050049,1425.069946,1425.069946,97047400
2023-04-20,1428.640015,1428.640015,1418.819946,1422.109985,1422.109985,79987200
2023-04-25,1422.270020,1427.000000,1420.839966,1425.189941,1425.189941,86166500
2023-04-26,1421.969971,1422.479980,1412.750000,1414.250000,1414.250000,108165700
2023-04-27,1416.439941,1418.170044,1413.459961,1418.050049,1418.050049,87781900
2023-04-28,1418.239990,1420.500000,1412.839966,1415.949951,1415.949951,92223200
2023-05-02,1416.209961,1428.319946,1415.920044,1426.109985,1426.109985,95430800
2023-05-03,1423.900024,1425.989990,1415.469971,1425.989990,1425.989990,108563000
2023-05-05,1423.609985,1431.229980,1421.780029,1431.040039,1431.040039,83059100
2023-05-08,1432.300049,1438.329956,1430.859985,1433.739990,1433.739990,79483400
2023-05-09,1431.579956,1432.750000,1428.520020,1432.630005,1432.630005,95374100
2023-05-10,1433.109985,1433.680054,1424.530029,1425.680054,1425.680054,90411500
2023-05-11,1425.579956,1428.780029,1424.819946,1425.180054,1425.180054,122493500
2023-05-12,1426.479980,1429.920044,1422.920044,1422.920044,1422.920044,153286800
2023-05-15,1423.530029,1427.359985,1415.939941,1417.369995,1417.369995,92214400
2023-05-16,1417.920044,1426.119995,1417.920044,1423.500000,1423.500000,93493100
2023-05-17,1422.010010,1427.400024,1421.339966,1424.339966,1424.339966,92504200
2023-05-18,1424.739990,1428.040039,1421.920044,1428.040039,1428.040039,88484500
2023-05-19,1425.449951,1428.540039,1423.650024,1428.540039,1428.540039,91861400
2023-05-22,1423.619995,1425.660034,1416.199951,1419.000000,1419.000000,116266900
2023-05-23,1418.319946,1419.609985,1409.510010,1411.540039,1411.540039,106577700
2023-05-24,1411.359985,1414.660034,1406.270020,1409.619995,1409.619995,122164200
2023-05-25,1408.939941,1411.420044,1402.479980,1402.479980,1402.479980,116408900
2023-05-26,1402.930054,1405.449951,1397.979980,1402.979980,1402.979980,149780100
2023-05-29,1405.469971,1406.530029,1401.930054,1404.930054,1404.930054,130205600
2023-05-30,1406.040039,1406.040039,1396.910034,1396.910034,1396.910034,152265400
2023-05-31,1396.680054,1398.380005,1380.900024,1387.119995,1387.119995,657523800
2023-06-01,1383.300049,1386.410034,1378.579956,1383.010010,1383.010010,139957800
2023-06-02,1385.819946,1385.819946,1376.780029,1381.260010,1381.260010,128952300
2023-06-06,1382.099976,1383.579956,1377.349976,1383.170044,1383.170044,120094000
2023-06-07,1382.000000,1383.550049,1371.739990,1378.650024,1378.650024,118413400
2023-06-08,1375.790039,1376.619995,1369.410034,1374.640015,1374.640015,109443600
2023-06-09,1375.579956,1381.260010,1373.079956,1376.079956,1376.079956,92008800
2023-06-12,1377.609985,1390.550049,1377.609985,1386.770020,1386.770020,100957500
2023-06-13,1387.689941,1387.790039,1378.150024,1380.609985,1380.609985,139291300
2023-06-14,1381.699951,1386.790039,1381.489990,1385.420044,1385.420044,134350100
2023-06-15,1382.959961,1382.959961,1378.829956,1381.729980,1381.729980,109127300
2023-06-16,1382.420044,1388.609985,1373.150024,1388.609985,1388.609985,305649700
2023-06-19,1383.890015,1390.500000,1379.829956,1387.329956,1387.329956,75445100
2023-06-20,1387.239990,1388.750000,1383.859985,1388.329956,1388.329956,96573400
2023-06-21,1385.729980,1395.849976,1383.880005,1393.449951,1393.449951,118222400
2023-06-22,1392.119995,1402.439941,1391.760010,1394.670044,1394.670044,116525600
2023-06-23,1395.699951,1397.540039,1389.699951,1390.890015,1390.890015,89365400
2023-06-26,1391.550049,1394.300049,1388.410034,1389.880005,1389.880005,79124900
2023-06-27,1390.869995,1393.380005,1385.300049,1386.739990,1386.739990,85691700
2023-06-28,1387.670044,1394.560059,1387.670044,1388.369995,1388.369995,71393900
2023-06-30,1388.520020,1391.479980,1370.150024,1376.680054,1376.680054,172513900
2023-07-03,1379.390015,1397.369995,1379.310059,1395.890015,1395.890015,70750600
2023-07-04,1393.560059,1396.329956,1388.849976,1392.489990,1392.489990,63595600
2023-07-05,1392.380005,1395.819946,1389.900024,1389.900024,1389.900024,68297000
2023-07-06,1389.709961,1389.709961,1381.859985,1385.949951,1385.949951,92373100
2023-07-07,1382.199951,1385.739990,1377.670044,1377.670044,1377.670044,85665300
2023-07-10,1377.560059,1386.939941,1377.560059,1383.060059,1383.060059,77577500
2023-07-11,1386.089966,1391.459961,1384.839966,1391.459961,1391.459961,105063900
2023-07-12,1390.270020,1400.050049,1389.939941,1398.060059,1398.060059,81189300
2023-07-13,1401.099976,1401.760010,1396.229980,1396.229980,1396.229980,71844700
2023-07-14,1399.530029,1414.219971,1399.390015,1412.089966,1412.089966,160012400
2023-07-17,1411.770020,1412.089966,1403.119995,1406.099976,1406.099976,92626300
2023-07-18,1407.540039,1407.900024,1399.469971,1403.030029,1403.030029,78504600
2023-07-20,1404.569946,1409.339966,1402.709961,1406.689941,1406.689941,100328400
2023-07-21,1407.479980,1413.520020,1405.640015,1413.520020,1413.520020,86987100
2023-07-24,1412.680054,1424.689941,1412.380005,1424.689941,1424.689941,87448700
2023-07-25,1425.760010,1437.810059,1425.280029,1436.790039,1436.790039,135600500
2023-07-26,1436.699951,1449.290039,1436.699951,1449.290039,1449.290039,133082000
2023-07-27,1447.660034,1456.359985,1446.920044,1451.270020,1451.270020,123234900
2023-07-28,1448.209961,1454.239990,1446.459961,1450.349976,1450.349976,101845900
2023-07-31,1451.069946,1464.699951,1451.069946,1459.430054,1459.430054,164867900
2023-08-01,1458.900024,1462.560059,1449.020020,1451.239990,1451.239990,98171000
2023-08-02,1449.449951,1450.280029,1441.849976,1444.560059,1444.560059,91589600
2023-08-03,1441.369995,1442.780029,1433.040039,1441.849976,1441.849976,89240200
2023-08-04,1442.489990,1447.130005,1442.229980,1445.209961,1445.209961,70523900
2023-08-07,1444.890015,1449.380005,1442.130005,1445.810059,1445.810059,48138700
2023-08-08,1444.209961,1452.469971,1441.630005,1451.000000,1451.000000,87847500
2023-08-09,1450.300049,1462.030029,1446.709961,1462.030029,1462.030029,140193500
2023-08-10,1460.359985,1460.699951,1453.369995,1458.930054,1458.930054,140203100
2023-08-11,1458.469971,1458.969971,1449.670044,1457.160034,1457.160034,116246300
2023-08-14,1457.189941,1457.430054,1452.150024,1457.000000,1457.000000,83404700
2023-08-15,1456.859985,1463.290039,1456.270020,1460.280029,1460.280029,84618900
2023-08-16,1459.030029,1464.270020,1458.369995,1463.510010,1463.510010,120690800
2023-08-17,1460.609985,1460.760010,1447.979980,1447.979980,1447.979980,154807600
2023-08-18,1449.229980,1449.229980,1442.260010,1446.089966,1446.089966,127832700
2023-08-21,1446.689941,1451.680054,1445.099976,1450.569946,1450.569946,121972100
2023-08-22,1450.869995,1456.400024,1449.189941,1451.530029,1451.530029,99704700
2023-08-23,1451.630005,1451.719971,1439.130005,1440.109985,1440.109985,101613400
2023-08-24,1441.520020,1446.750000,1441.520020,1444.670044,1444.670044,87375800
2023-08-25,1444.209961,1444.810059,1438.510010,1444.489990,1444.489990,110374500
2023-08-28,1443.670044,1445.310059,1441.780029,1444.060059,1444.060059,90966700
2023-08-29,1443.469971,1455.800049,1441.520020,1454.439941,1454.439941,124595100
